Anno,ISTAT_COD,PROVINCIA,COMUNE,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,PP,CS,altro,C,E,CdR,R.S.A.,COM.DOM.,COM.COM.,Macro,Rifiuto1,Rifiuto2,EER,TOTALE(Kg)
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,371,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Farmaci,Farmaci e medicinali scaduti non pericolosi,200132,371
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,83,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Altri rifiuti,Filtri dell'olio,160107,83
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,56.705,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Legno,Legno,200138,56.705
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,304.730,,490,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,305.220
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,26.060,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Spazzamento strade a recupero,Spazzamento strade avviato a recupero,200303,26.060
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,115.462,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Ingombranti a recupero,Rifiuti ingombranti avviato a recupero,200307,115.462
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,,,,,13.230,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Metalli ferrosi,200140,13.230
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,3.675,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Imballaggi in materiali ferrosi,150104,3.675
2022,08033001,PC,Agazzano,08,033,001,"44,96707","9,50203",1.995,,3.798,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Tessili,Indumenti smessi e abbigliamento usato raccolto da Associazioni Volontariato,200110,3.798
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,280.870,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,280.870
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,221.630,,,,,316.780,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,538.410
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,162.880,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,162.880
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,59.200,,,30.718,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Imballaggi in carta e cartone,150101,89.918
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,144.602,,,,3.570,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Plastica,Imballaggi in plastica,150102,148.172
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,215.654,63.270,,,46.310,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,325.234
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,338,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi contenenti sostanze pericolose,150110,338
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,235,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi metallici contenenti sostanze pericolose,150111,235
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,3.150,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,3.150
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,20.831,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,20.831
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,130,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,130
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,6.150,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,6.150
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,450,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi commestibili,Oli e grassi commestibili,200125,450
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,1.950,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi minerali,Oli e grassi minerali,200126,1.950
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,3.191,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),"Vernici, inchiostri, adesivi e resine","Vernici, inchiostri, adesivi e resine pericolosi",200127,3.191
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,429,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Farmaci,Farmaci e medicinali scaduti non pericolosi,200132,429
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,135,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Altri rifiuti,Filtri dell'olio,160107,135
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,3.490,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Altri rifiuti urbani indifferenziati non specificati altrimenti,200399,3.490
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,143.373,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Legno,Legno,200138,143.373
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,926.380,,21.630,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,948.010
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,27.120,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Spazzamento strade a recupero,Spazzamento strade avviato a recupero,200303,27.120
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,166.778,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Ingombranti a recupero,Rifiuti ingombranti avviato a recupero,200307,166.778
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,34.100,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Metalli ferrosi,200140,34.100
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,12.868,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Imballaggi in materiali ferrosi,150104,12.868
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,48.235,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Multimateriale,Imballaggi misti (PLASTICA+FERRO+ALLUMINIO),150106,48.235
2022,08033002,PC,Alseno,08,033,002,"44,88749","9,96251",4.710,,,,,,289,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Batterie e accumulatori,PILE,200134,289
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,51.809,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,51.809
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,53.910,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,53.910
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,29.615,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,29.615
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,21.169,,,,13.580,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,34.749
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,40,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi metallici contenenti sostanze pericolose,150111,40
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,721,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,721
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,3.917,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,3.917
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,45,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,45
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,570,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,570
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,350,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi commestibili,Oli e grassi commestibili,200125,350
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,711,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),"Vernici, inchiostri, adesivi e resine","Vernici, inchiostri, adesivi e resine pericolosi",200127,711
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,115,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Farmaci,Farmaci e medicinali scaduti non pericolosi,200132,115
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,17.430,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Legno,Legno,200138,17.430
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,124.705,,,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,124.705
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,70,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Spazzamento strade a recupero,Spazzamento strade avviato a recupero,200303,70
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,15.340,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Ingombranti a recupero,Rifiuti ingombranti avviato a recupero,200307,15.340
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,,,,,11.360,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Metalli ferrosi,200140,11.360
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,84.882,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Multimateriale,Imballaggi misti (PLASTICA+FERRO+ALLUMINIO),150106,84.882
2022,08033003,PC,Besenzone,08,033,003,"44,97384","9,9802",920,,2.580,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Tessili,Indumenti smessi e abbigliamento usato raccolto da Associazioni Volontariato,200110,2.580
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,81.358,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,81.358
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,232.036,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,232.036
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,78.630,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,78.630
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,19.415,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Imballaggi in carta e cartone,150101,19.415
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,147.404,,,,4.200,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,151.604
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,35,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi contenenti sostanze pericolose,150110,35
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,40,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi metallici contenenti sostanze pericolose,150111,40
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,3.954,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,3.954
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,14.170,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,14.170
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,20,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,20
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,4.980,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,4.980
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,1.152,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),"Vernici, inchiostri, adesivi e resine","Vernici, inchiostri, adesivi e resine pericolosi",200127,1.152
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,165,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Altri rifiuti,Filtri dell'olio,160107,165
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,35.215,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Legno,Legno,200138,35.215
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,242.300,490.050,,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,732.350
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,16.490,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Spazzamento strade a recupero,Spazzamento strade avviato a recupero,200303,16.490
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,65.067,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Ingombranti a recupero,Rifiuti ingombranti avviato a recupero,200307,65.067
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,25.210,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Metalli ferrosi,200140,25.210
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,58.640,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Multimateriale,Imballaggi misti (PLASTICA+FERRO+ALLUMINIO),150106,58.640
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,4.103,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Tessili,Indumenti smessi e abbigliamento usato raccolto da Associazioni Volontariato,200110,4.103
2022,08033004,PC,Bettola,08,033,004,"44,7787","9,59634",2.610,,,,,,367,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Batterie e accumulatori,BATTERIE,200133,367
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,182.190,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,182.190
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,141.280,,,,52.440,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,193.720
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,133.560,,,,,2.110,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,135.670
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,31.780,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Imballaggi in carta e cartone,150101,31.780
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,7.176,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Plastica,Imballaggi in plastica,150102,7.176
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,128.476,,,,111.820,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,240.296
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,51,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi contenenti sostanze pericolose,150110,51
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,71,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi metallici contenenti sostanze pericolose,150111,71
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,7.463,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,7.463
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,25.044,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,25.044
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,50,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,50
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,9.950,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,9.950
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,350,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi commestibili,Oli e grassi commestibili,200125,350
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,850,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi minerali,Oli e grassi minerali,200126,850
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,980,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),"Vernici, inchiostri, adesivi e resine","Vernici, inchiostri, adesivi e resine pericolosi",200127,980
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,120,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Farmaci,Farmaci e medicinali scaduti non pericolosi,200132,120
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,5.680,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Altri rifiuti,Pneumatici fuori uso da utenze domestiche,160103,5.680
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,97,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Altri rifiuti,Filtri dell'olio,160107,97
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,106.045,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Legno,Legno,200138,106.045
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,489.190,491.350,,,,,,,,RIFIUTI URBANI INDIFFERENZIATI (DM 26/05/16),Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,980.540
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,21.520,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Spazzamento strade a recupero,Spazzamento strade avviato a recupero,200303,21.520
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,138.240,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Ingombranti a recupero,Rifiuti ingombranti avviato a recupero,200307,138.240
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,50.760,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Metalli ferrosi,Metalli ferrosi,200140,50.760
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,,21.540,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,"art.238,c.10,D.Lgs.152/06 - Imballaggi in carta e cartone",150101,21.540
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,26.164,59.735,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Multimateriale,Imballaggi misti (PLASTICA+FERRO+ALLUMINIO),150106,85.899
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,7.424,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Tessili,Indumenti smessi e abbigliamento usato raccolto da Associazioni Volontariato,200110,7.424
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,1.316,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Batterie e accumulatori,BATTERIE,200133,1.316
2022,08033005,PC,Bobbio,08,033,005,"44,79209","9,38583",3.441,,,,,,190,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Batterie e accumulatori,PILE,200134,190
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,434.865,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida domestica,200108,434.865
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,21.040,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Umido,Frazione organica umida dei mercati,200302,21.040
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,529.075,4.610,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Verde,Scarti vegetali derivanti dalla manutenzione del verde,200201,533.685
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,226.350,,,,,,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Carta e cartone,200101,226.350
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,150.640,,,23.940,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Carta e cartone,Imballaggi in carta e cartone,150101,174.580
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,250.820,152.017,,,18.000,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Vetro,Imballaggi in vetro,150107,420.837
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,269,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi contenenti sostanze pericolose,150110,269
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,258,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Contenitori TFC,Imballaggi metallici contenenti sostanze pericolose,150111,258
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,3.952,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE pericolosi,200135,3.952
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,18.855,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE non pericolosi,200136,18.855
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,311,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE neon,200121,311
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,8.560,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Raee,RAEE con CFC,200123,8.560
2022,08033006,PC,Borgonovo Val Tidone,08,033,006,"45,00775","9,46225",8.181,,,,,,650,,,,RACCOLTA DIFFERENZIATA (DM 26/05/16),Oli e grassi commestibili,Oli e grassi commestibili,200125,650
